shift_number,trip_number,passenger_count,tolls_amt,tip_amt,surcharge,total_amt,trip_distance,long_end,lat_end,long_start,lat_start,vendor_name,payment_method_rec,zipcode_start,zipcode_end,dropoff_minute,dropoff_hour,dropoff_day,pickup_minute,pickup_hour,pickup_day,pickup_year,trip_duration,medallion
281568139,11546,2,0,0,0.5,28.3,10.07,-73.9157,40.8503,-73.9875,40.7562,VTS,Cash,10453,10018,46,4,27,17,4,27,2010,29,C6366T
14746523,5583,1,0,2,0.5,21.1,7.2,-73.943,40.8446,-73.9832,40.7617,CMT,Credit,10032,10020,3,4,29,48,3,29,2010,15,C8888T
282758009,8116,2,0,2,0.5,10.7,1.88,-73.9763,40.7442,-73.9826,40.7634,VTS,Credit,10017,10103,17,4,19,7,4,19,2010,10,C2327T
15656077,4861,1,0,0,0.5,21.9,8.1,-73.9808,40.66,-73.9826,40.7581,CMT,Cash,11215,10020,54,4,10,32,4,10,2010,22,C0609T
4871997,7229,1,0,0,0,18.6,6.9,-73.9099,40.8134,-73.9876,40.7604,CMT,Cash,10455,10018,47,5,25,27,5,25,2009,20,C6966T
277578311,25604,1,0,0,0,11,3.41,-73.9485,40.7799,-73.987,40.7614,VTS,Cash,10028,10018,30,5,20,20,5,20,2009,10,C1814T
281870168,8031,1,0,0,0.5,5.5,0.86,-73.9877,40.7705,-73.9895,40.7628,VTS,Cash,10019,10018,38,5,18,35,5,18,2010,3,C0308T
283265068,17555,1,0,2,0.5,13.5,3.21,-73.9538,40.7708,-73.9925,40.7584,VTS,Credit,10044,10018,47,5,24,36,5,24,2010,11,C2426T
283367229,14032,1,0,0,0.5,11.9,3.73,-73.9678,40.8026,-73.992,40.7592,VTS,Cash,10025,10018,1,5,31,49,4,31,2010,12,C2529T
7988615,1974,1,0,0,0,14.1,5.2,-73.9076,40.7386,-73.9875,40.7604,CMT,Cash,11378,10018,54,6,30,41,6,30,2009,13,C6965T
274448401,11847,2,0,0,0,5.3,1.2,-74.0004,40.7579,-73.9863,40.7595,VTS,Cash,10199,10018,43,7,15,38,7,15,2009,5,C9999T
6821892,7326,1,0,0,0,4.9,1.1,-73.9729,40.7804,-73.9826,40.7669,CMT,Cash,10023,10019,56,7,21,51,7,21,2009,5,C6661T
12062318,8103,1,0,0,0,4.2,0.6,-73.9953,40.7597,-73.9882,40.7641,CMT,Cash,10018,10018,45,7,18,43,7,18,2010,2,C4346T
280871231,9076,5,0,0,0,3.8,0.39,-73.9838,40.7651,-73.9871,40.7616,VTS,Cash,10103,10018,23,7,5,21,7,5,2010,2,C5957T
3793694,2329,1,0,0,0,4.9,1.1,-73.9925,40.7487,-73.9831,40.7636,CMT,Cash,10001,10103,12,8,26,8,8,26,2008,4,C3233T
4386946,814,1,0,0,0,4.5,0.8,-73.9788,40.7524,-73.9889,40.7583,CMT,Cash,10110,10018,31,8,14,27,8,14,2008,4,C0403T
5656491,1732,1,0,0,0,6.1,1.7,-73.9631,40.775,-73.985,40.7675,CMT,Cash,10021,10019,21,8,29,15,8,29,2009,6,C1519T
275363443,20250,3,0,0,0,27.3,11.78,-73.8617,40.7683,-73.9854,40.7611,VTS,Cash,11371,10018,56,8,19,34,8,19,2009,22,C5358T
7525621,7296,1,0,0,0,6.5,1.7,-73.9911,40.7503,-73.9818,40.7625,CMT,Cash,10001,10103,50,8,8,44,8,8,2009,6,C9292T
277477648,22811,1,0,0,0,6.9,1.4,-73.9966,40.7528,-73.9823,40.7653,VTS,Cash,10199,10103,45,8,13,37,8,13,2009,8,C3636T
9065478,90,1,0,0,0,8.2,2.4,-73.9926,40.7356,-73.9835,40.7627,CMT,Cash,10003,10020,58,8,11,49,8,11,2009,9,C2127T
12890565,5716,1,0,1.24,0,7.44,1.1,-73.9739,40.7571,-73.9872,40.7661,CMT,Credit,10171,10019,23,8,30,16,8,30,2010,7,C4941T
281576540,6619,2,0,0,0,6.6,1.21,-74.0007,40.7581,-73.9856,40.7611,VTS,Cash,10199,10018,46,8,27,38,8,27,2010,8,C4942T
4471625,3342,1,0,0,0,16.1,5.3,-74.0099,40.705,-73.9918,40.7598,CMT,Cash,10271,10018,51,9,21,32,9,21,2008,19,C5357T
4875555,6318,3,0,0,0,6.9,1.9,-73.9652,40.764,-73.99,40.7572,CMT,Cash,10065,10018,4,9,25,57,8,25,2009,7,C4541T
5130367,2010,1,0,0,0,5.7,1.1,-74.0004,40.7577,-73.9854,40.7596,CMT,Cash,10199,10020,45,9,15,39,9,15,2009,6,C4944T
5216522,880,1,0,0,0,5.7,1.3,-74.0005,40.7583,-73.9821,40.761,CMT,Cash,10199,10020,53,9,22,47,9,22,2009,6,C2122T
6941611,1484,2,0,0,0,7.7,1.6,-73.992,40.7466,-73.9869,40.7614,CMT,Cash,10001,10018,59,9,28,49,9,28,2009,10,C4745T
277478837,31228,1,0,2,0,12.9,3.48,-73.9975,40.7243,-73.9862,40.7673,VTS,Credit,10012,10019,4,9,13,51,8,13,2009,13,C1919T
8938035,8578,1,0,0,0,3.3,0.3,-73.9837,40.7656,-73.9875,40.7605,CMT,Cash,10103,10018,20,9,25,18,9,25,2009,2,C1418T
278084787,167,1,0,0,0,5.7,0.94,-73.9729,40.7562,-73.9856,40.7632,VTS,Cash,10171,10018,27,9,25,20,9,25,2009,7,C2726T
281073654,10709,1,0,0,0,5.8,1.16,-73.976,40.7656,-73.9839,40.7596,VTS,Cash,10153,10020,15,9,23,10,9,23,2010,5,C6866T
14757512,100,1,0,2.2,0,13.2,3.5,-73.9511,40.7862,-73.9844,40.7598,CMT,Credit,10029,10020,55,9,29,43,9,29,2010,12,C2929T
15199710,6150,1,0,10,0,55.5,17.3,-73.7831,40.6439,-73.9802,40.7626,CMT,Credit,11422,10103,36,9,19,11,9,19,2010,25,C6369T
283066228,17392,1,0,0,0,5.4,0.67,-73.9776,40.7585,-73.9791,40.7628,VTS,Cash,10111,10103,28,9,10,22,9,10,2010,6,C6263T
283576359,12928,1,4.5,0,0,27.97,9.61,-73.8709,40.774,-73.9894,40.759,VTS,Cash,11371,10018,22,9,14,3,9,14,2010,19,C7877T
283677958,8002,1,0,0,0,13.8,4.75,-73.9567,40.8139,-73.9836,40.757,VTS,Cash,10027,10020,39,9,21,22,9,21,2010,17,C3138T
4390218,3005,1,0,1,0,9.9,2.6,-73.9564,40.7756,-73.9871,40.761,CMT,Credit,10021,10018,13,10,14,3,10,14,2008,10,C2328T
275056153,9572,2,0,2,0,9.7,2.08,-73.9622,40.7793,-73.9834,40.7662,VTS,Credit,10028,10019,8,10,29,58,9,29,2009,10,C1216T
275362946,21721,1,0,0,0,4.9,0.94,-73.9856,40.7689,-73.9898,40.7623,VTS,Cash,10019,10018,48,10,19,43,10,19,2009,5,C0903T
275364935,9259,2,0,0,0,8.9,2.57,-74.0007,40.7357,-73.9824,40.7673,VTS,Cash,10011,10019,49,10,19,38,10,19,2009,11,C7178T
276280790,16710,1,0,0,0,5.7,0.91,-73.9916,40.7502,-73.9888,40.7585,VTS,Cash,10119,10018,47,10,21,39,10,21,2009,8,C7872T
8938706,292,1,0,0,0,5.3,1.1,-73.9795,40.7637,-73.9852,40.7592,CMT,Cash,10103,10020,30,10,25,25,10,25,2009,5,C9797T
8939620,9808,1,5.5,0,0,33.6,11.3,-73.8726,40.7744,-73.9896,40.7586,CMT,Cash,11371,10018,51,10,25,25,10,25,2009,26,C2228T
278890875,2888,1,0,0,0,5,0.68,-73.9898,40.7568,-73.9836,40.7615,VTS,Cash,10018,10020,41,10,20,35,10,20,2009,6,C4345T
280674574,7865,1,0,0,0,6.2,1.03,-73.9685,40.7624,-73.9824,40.7627,VTS,Cash,10022,10103,3,10,25,55,9,25,2010,8,C8685T
281575540,7080,2,0,0,0,8.6,2.12,-73.9622,40.7792,-73.9797,40.7618,VTS,Cash,10028,10103,37,10,27,29,10,27,2010,8,C5154T
282271317,15885,1,0,0,0,5.4,1.02,-73.97,40.7631,-73.9834,40.7635,VTS,Cash,10153,10103,54,10,15,49,10,15,2010,5,C3337T
3447737,8938,3,0,0,0,8.1,1.9,-73.9708,40.7799,-73.991,40.7586,CMT,Cash,10023,10018,23,11,28,14,11,28,2008,9,C7277T
3794363,1198,1,0,0,0,9.3,1.7,-73.9774,40.7727,-73.9921,40.759,CMT,Cash,10023,10018,22,11,26,8,11,26,2008,14,C4341T
550649,968258,2,0,0,0,6.5,1.2,-73.9881,40.7511,-73.9853,40.7645,DDS,Cash,10001,10018,24,11,28,13,11,28,2008,11,C0106T
273650225,16143,2,0,0,0,7.7,2.28,-73.9898,40.7392,-73.9797,40.766,VTS,Cash,10011,10103,15,11,21,7,11,21,2008,8,C1512T
273574833,22321,1,0,0,0,4.9,1.06,-73.9963,40.7532,-73.9866,40.7665,VTS,Cash,10199,10019,54,11,21,51,11,21,2008,3,C4548T
4877324,5123,1,0,1.03,0,7.93,1.7,-73.9596,40.7714,-73.9829,40.7674,CMT,Credit,10021,10019,25,11,25,17,11,25,2009,8,C6864T
275059080,17901,2,4.1,0,0,27.05,9.52,-73.8709,40.7741,-73.9844,40.7601,VTS,Cash,11371,10020,35,11,29,15,11,29,2009,20,C8989T
7409094,9157,1,0,1.14,0,6.84,1.3,-73.9886,40.7488,-73.981,40.7619,CMT,Credit,10001,10103,36,11,26,30,11,26,2009,6,C9193T
